DeviceProfileName,Time,AirTemperature,AirHumidity,BarometricPressure,CO2SensorTemperature,Unit
Decentlab_Air_Monitor,2023-10-05T02:08:45.737+00:00,24.332473144531242,52.23326110839844,98376,24.14,°C
Decentlab_Air_Monitor,2023-10-05T02:10:42.948+00:00,24.268122558593753,52.35723876953125,98324,23.87,°C
Decentlab_Air_Monitor,2023-10-05T02:18:46.044+00:00,24.321748046874994,52.21990966796875,98374,24.13,°C
Decentlab_Air_Monitor,2023-10-05T02:20:44.470+00:00,24.257397460937504,52.37249755859375,98320,23.86,°C
Decentlab_Air_Monitor,2023-10-05T02:28:45.410+00:00,24.313704223632804,52.25996398925781,98370,24.12,°C
Decentlab_Air_Monitor,2023-10-05T02:38:42.645+00:00,24.30566040039063,52.21418762207031,98360,24.11,°C
Decentlab_Air_Monitor,2023-10-05T02:40:39.160+00:00,24.243991088867183,52.33625793457031,98308,23.85,°C
Decentlab_Air_Monitor,2023-10-05T02:48:48.120+00:00,24.29761657714844,52.1817626953125,98354,24.1,°C
Decentlab_Air_Monitor,2023-10-05T02:50:42.972+00:00,24.235947265624993,52.31146240234375,98300,23.84,°C
Decentlab_Air_Monitor,2023-10-05T03:00:44.550+00:00,24.225222167968745,52.30955505371094,98304,23.84,°C
Decentlab_Air_Monitor,2023-10-05T03:08:43.104+00:00,24.28689147949219,52.09974670410156,98348,24.09,°C
Decentlab_Air_Monitor,2023-10-05T03:10:41.261+00:00,24.225222167968745,52.27522277832031,98294,23.83,°C
Decentlab_Air_Monitor,2023-10-05T03:18:49.089+00:00,0,0,0,0,
Decentlab_Air_Monitor,2023-10-05T03:18:54.581+00:00,24.27884765625,52.048248291015625,98354,24.08,°C
Decentlab_Air_Monitor,2023-10-05T03:20:42.690+00:00,24.219859619140628,52.17985534667969,98306,23.82,°C
Decentlab_Air_Monitor,2023-10-05T03:28:43.078+00:00,24.268122558593753,51.9681396484375,98356,24.07,°C
Decentlab_Air_Monitor,2023-10-05T03:30:44.071+00:00,24.20377197265625,52.09593200683594,98304,23.81,°C
Decentlab_Air_Monitor,2023-10-05T03:38:43.429+00:00,24.252034912109373,51.910919189453125,98340,24.06,°C
Decentlab_Air_Monitor,2023-10-05T03:40:42.271+00:00,24.20109069824219,52.01963806152344,98286,23.8,°C
Decentlab_Air_Monitor,2023-10-05T03:50:36.739+00:00,24.182321777343752,51.918548583984375,98288,23.78,°C
Decentlab_Air_Monitor,2023-10-05T03:58:44.071+00:00,24.219859619140628,51.7239990234375,98340,24.02,°C
Decentlab_Air_Monitor,2023-10-05T04:00:39.667+00:00,24.158190307617183,51.819366455078125,98290,23.77,°C
Decentlab_Air_Monitor,2023-10-05T04:08:45.116+00:00,24.20377197265625,51.6324462890625,98346,24.01,°C
Decentlab_Air_Monitor,2023-10-05T04:10:41.995+00:00,24.142102661132817,51.7239990234375,98298,23.75,°C
Decentlab_Air_Monitor,2023-10-05T04:20:38.201+00:00,24.126015014648438,51.64007568359375,98306,23.74,°C
Decentlab_Air_Monitor,2023-10-05T04:40:44.024+00:00,24.09383972167968,51.4798583984375,98304,23.7,°C
Decentlab_Air_Monitor,2023-10-05T04:50:42.221+00:00,24.077752075195313,51.437896728515625,98316,23.69,°C
Decentlab_Air_Monitor,2023-10-05T05:00:40.690+00:00,24.064345703124992,51.46269226074219,98328,23.67,°C
Decentlab_Air_Monitor,2023-10-05T05:08:49.530+00:00,24.112608642578117,51.38258361816406,98392,23.91,°C
Decentlab_Air_Monitor,2023-10-05T05:10:39.581+00:00,24.045576782226554,51.51800537109375,98342,23.65,°C
Decentlab_Air_Monitor,2023-10-05T05:20:41.928+00:00,24.026807861328116,51.57713317871094,98336,23.64,°C
Decentlab_Air_Monitor,2023-10-05T05:28:44.946+00:00,24.080433349609372,51.45697021484375,98394,23.88,°C
Decentlab_Air_Monitor,2023-10-05T05:30:38.057+00:00,24.01072021484375,51.582855224609375,98340,23.62,°C
Decentlab_Air_Monitor,2023-10-05T05:38:47.178+00:00,24.067026977539065,51.48558044433594,98402,23.87,°C
Decentlab_Air_Monitor,2023-10-05T05:40:36.904+00:00,23.99463256835937,51.60383605957031,98344,23.6,°C
Decentlab_Air_Monitor,2023-10-05T05:50:44.045+00:00,23.97854492187499,51.71827697753906,98346,23.59,°C
Decentlab_Air_Monitor,2023-10-05T06:00:40.889+00:00,23.962457275390626,51.80792236328125,98364,23.57,°C
Decentlab_Air_Monitor,2023-10-05T06:08:45.760+00:00,24.0214453125,51.68013000488281,98416,23.82,°C
Decentlab_Air_Monitor,2023-10-05T06:10:44.039+00:00,23.94368835449219,51.85560607910156,98368,23.55,°C
Decentlab_Air_Monitor,2023-10-05T06:18:45.458+00:00,24.00535766601562,51.8460693359375,98412,23.81,°C
Decentlab_Air_Monitor,2023-10-05T06:20:36.872+00:00,23.92491943359375,52.078765869140625,98360,23.54,°C
Decentlab_Air_Monitor,2023-10-05T06:28:42.040+00:00,23.989270019531254,52.07304382324219,98392,23.79,°C
Decentlab_Air_Monitor,2023-10-05T06:30:40.066+00:00,23.90883178710937,52.30192565917969,98330,23.52,°C
Decentlab_Air_Monitor,2023-10-05T06:38:48.829+00:00,23.973182373046875,52.19129943847656,98378,23.77,°C
Decentlab_Air_Monitor,2023-10-05T06:40:40.897+00:00,23.890062866210933,52.467864990234375,98328,23.5,°C
Decentlab_Air_Monitor,2023-10-05T06:50:40.082+00:00,23.871293945312495,52.62617492675781,98330,23.48,°C
Decentlab_Air_Monitor,2023-10-05T06:58:46.400+00:00,23.94368835449219,52.4259033203125,98378,23.74,°C
Decentlab_Air_Monitor,2023-10-05T07:00:36.446+00:00,23.85520629882813,52.63189697265625,98316,23.47,°C
Decentlab_Air_Monitor,2023-10-05T07:08:48.076+00:00,23.92491943359375,52.43162536621094,98348,23.72,°C
Decentlab_Air_Monitor,2023-10-05T07:10:43.688+00:00,23.83643737792969,52.650970458984375,98292,23.45,°C
Decentlab_Air_Monitor,2023-10-05T07:18:48.702+00:00,23.903469238281254,52.513641357421875,98332,23.71,°C
Decentlab_Air_Monitor,2023-10-05T07:20:42.175+00:00,23.817668457031253,52.77685546875,98272,23.43,°C
Decentlab_Air_Monitor,2023-10-05T07:28:47.438+00:00,23.884700317382816,52.704376220703125,98318,23.69,°C
Decentlab_Air_Monitor,2023-10-05T07:30:41.200+00:00,23.796218261718742,52.97331237792969,98268,23.41,°C
Decentlab_Air_Monitor,2023-10-05T07:38:41.937+00:00,23.865931396484378,52.89320373535156,98322,23.67,°C
Decentlab_Air_Monitor,2023-10-05T07:40:43.262+00:00,23.774768066406246,53.18312072753906,98266,23.39,°C
Decentlab_Air_Monitor,2023-10-05T07:48:44.923+00:00,23.844481201171867,53.07249450683594,98308,23.65,°C
Decentlab_Air_Monitor,2023-10-05T07:50:43.347+00:00,23.75063659667969,53.36622619628906,98258,23.37,°C
Decentlab_Air_Monitor,2023-10-05T08:08:42.915+00:00,23.801580810546874,53.192657470703125,98294,23.6,°C
Decentlab_Air_Monitor,2023-10-05T08:18:46.856+00:00,23.777449340820304,53.07249450683594,98296,23.58,°C
